travelCode,userCode,name,place,days,price,total,date
100806,1002,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/07/2021
100807,1002,Hotel Z,Aracaju (SE),2,208.04,416.08,01/14/2021
100810,1002,Hotel AU,Recife (PE),3,312.83,938.49,02/04/2021
100814,1002,Hotel AF,Sao Paulo (SP),1,139.1,139.1,03/04/2021
100817,1002,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03/25/2021
100819,1002,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,04/08/2021
100823,1002,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/06/2021
100826,1002,Hotel K,Salvador (BH),1,263.41,263.41,05/27/2021
100828,1002,Hotel Z,Aracaju (SE),2,208.04,416.08,06/10/2021
100830,1002,Hotel AF,Sao Paulo (SP),1,139.1,139.1,06/24/2021
100834,1002,Hotel BD,Natal (RN),1,242.88,242.88,07/22/2021
100841,1002,Hotel Z,Aracaju (SE),2,208.04,416.08,09/09/2021
100842,1002,Hotel Z,Aracaju (SE),3,208.04,624.12,09/16/2021
100848,1002,Hotel Z,Aracaju (SE),1,208.04,208.04,10/28/2021
100851,1002,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11/18/2021
100852,1002,Hotel K,Salvador (BH),2,263.41,526.82,11/25/2021
100857,1002,Hotel BP,Brasilia (DF),3,247.62,742.86,12/30/2021
100860,1002,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/20/2022
100865,1002,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/24/2022
100871,1002,Hotel BD,Natal (RN),3,242.88,728.64,04/07/2022
100874,1002,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,04/28/2022
100876,1002,Hotel K,Salvador (BH),4,263.41,1053.64,05/12/2022
100877,1002,Hotel Z,Aracaju (SE),4,208.04,832.16,05/19/2022
100887,1002,Hotel AU,Recife (PE),3,312.83,938.49,07/28/2022
100890,1002,Hotel K,Salvador (BH),3,263.41,790.23,08/18/2022
100892,1002,Hotel BP,Brasilia (DF),2,247.62,495.24,09/01/2022
100893,1002,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,09/08/2022
100896,1002,Hotel BP,Brasilia (DF),3,247.62,742.86,09/29/2022
100899,1002,Hotel AF,Sao Paulo (SP),4,139.1,556.4,10/20/2022
100900,1002,Hotel AU,Recife (PE),1,312.83,312.83,10/27/2022
100906,1003,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/26/2019
100909,1003,Hotel BD,Natal (RN),3,242.88,728.64,10/17/2019
100913,1003,Hotel BD,Natal (RN),2,242.88,485.76,11/14/2019
100914,1003,Hotel BP,Brasilia (DF),3,247.62,742.86,11/21/2019
100918,1003,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/19/2019
100921,1003,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/09/2020
100928,1003,Hotel BD,Natal (RN),2,242.88,485.76,02/27/2020
100935,1003,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/16/2020
100936,1003,Hotel Z,Aracaju (SE),2,208.04,416.08,04/23/2020
100953,1003,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,08/20/2020
100954,1003,Hotel K,Salvador (BH),3,263.41,790.23,08/27/2020
100956,1003,Hotel AU,Recife (PE),3,312.83,938.49,09/10/2020
100957,1003,Hotel K,Salvador (BH),2,263.41,526.82,09/17/2020
100959,1003,Hotel K,Salvador (BH),1,263.41,263.41,10/01/2020
100969,1003,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/10/2020
100970,1003,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,12/17/2020
100974,1003,Hotel AF,Sao Paulo (SP),4,139.1,556.4,01/14/2021
100976,1003,Hotel Z,Aracaju (SE),1,208.04,208.04,01/28/2021
100981,1003,Hotel K,Salvador (BH),4,263.41,1053.64,03/04/2021
100982,1003,Hotel AF,Sao Paulo (SP),2,139.1,278.2,03/11/2021
100987,1003,Hotel Z,Aracaju (SE),3,208.04,624.12,04/15/2021
100988,1003,Hotel Z,Aracaju (SE),4,208.04,832.16,04/22/2021
100989,1003,Hotel BP,Brasilia (DF),3,247.62,742.86,04/29/2021
100993,1003,Hotel K,Salvador (BH),4,263.41,1053.64,05/27/2021
100995,1003,Hotel K,Salvador (BH),4,263.41,1053.64,06/10/2021
100996,1003,Hotel Z,Aracaju (SE),1,208.04,208.04,06/17/2021
100997,1003,Hotel BP,Brasilia (DF),1,247.62,247.62,06/24/2021
101001,1003,Hotel AU,Recife (PE),1,312.83,312.83,07/22/2021
101002,1003,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/29/2021
101003,1003,Hotel BD,Natal (RN),2,242.88,485.76,08/05/2021
101005,1003,Hotel K,Salvador (BH),3,263.41,790.23,08/19/2021
101008,1003,Hotel BW,Campo Grande (MS),3,60.39,181.17,09/09/2021
101009,1003,Hotel AU,Recife (PE),2,312.83,625.66,09/16/2021
101011,1003,Hotel AF,Sao Paulo (SP),1,139.1,139.1,09/30/2021
101012,1003,Hotel AU,Recife (PE),4,312.83,1251.32,10/07/2021
101017,1003,Hotel AF,Sao Paulo (SP),2,139.1,278.2,11/11/2021
101022,1003,Hotel Z,Aracaju (SE),1,208.04,208.04,12/16/2021
101028,1003,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/27/2022
101031,1003,Hotel BP,Brasilia (DF),4,247.62,990.48,02/17/2022
101032,1003,Hotel BP,Brasilia (DF),4,247.62,990.48,02/24/2022
101033,1003,Hotel K,Salvador (BH),4,263.41,1053.64,03/03/2022
101037,1003,Hotel Z,Aracaju (SE),2,208.04,416.08,03/31/2022
101039,1003,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,04/14/2022
101043,1003,Hotel BD,Natal (RN),4,242.88,971.52,05/12/2022
101045,1003,Hotel K,Salvador (BH),3,263.41,790.23,05/26/2022
101051,1003,Hotel K,Salvador (BH),3,263.41,790.23,07/07/2022
101053,1003,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,07/21/2022
