travelCode,userCode,name,place,days,price,total,date
66924,650,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,12/10/2020
66927,650,Hotel Z,Aracaju (SE),3,208.04,624.12,12/31/2020
66930,650,Hotel AU,Recife (PE),4,312.83,1251.32,01/21/2021
66932,650,Hotel BD,Natal (RN),1,242.88,242.88,02/04/2021
66942,650,Hotel Z,Aracaju (SE),1,208.04,208.04,04/15/2021
66945,650,Hotel AU,Recife (PE),4,312.83,1251.32,05/06/2021
66953,650,Hotel AF,Sao Paulo (SP),4,139.1,556.4,07/01/2021
66956,650,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/22/2021
66958,650,Hotel AF,Sao Paulo (SP),1,139.1,139.1,08/05/2021
66959,650,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,08/12/2021
66962,650,Hotel AF,Sao Paulo (SP),2,139.1,278.2,09/02/2021
66963,650,Hotel BW,Campo Grande (MS),4,60.39,241.56,09/09/2021
66964,650,Hotel BW,Campo Grande (MS),3,60.39,181.17,09/16/2021
66967,650,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,10/07/2021
66969,650,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/21/2021
66971,650,Hotel AU,Recife (PE),3,312.83,938.49,11/04/2021
66972,650,Hotel K,Salvador (BH),4,263.41,1053.64,11/11/2021
66973,650,Hotel BW,Campo Grande (MS),2,60.39,120.78,11/18/2021
66975,650,Hotel A,Florianopolis (SC),4,313.02,1252.08,12/02/2021
66976,650,Hotel BD,Natal (RN),4,242.88,971.52,12/09/2021
66979,650,Hotel BD,Natal (RN),3,242.88,728.64,12/30/2021
66980,650,Hotel K,Salvador (BH),4,263.41,1053.64,01/06/2022
66985,650,Hotel BW,Campo Grande (MS),3,60.39,181.17,02/10/2022
66986,650,Hotel BW,Campo Grande (MS),1,60.39,60.39,02/17/2022
66987,650,Hotel Z,Aracaju (SE),3,208.04,624.12,02/24/2022
66988,650,Hotel AU,Recife (PE),2,312.83,625.66,03/03/2022
66990,650,Hotel Z,Aracaju (SE),1,208.04,208.04,03/17/2022
66992,650,Hotel AU,Recife (PE),4,312.83,1251.32,03/31/2022
66998,650,Hotel BW,Campo Grande (MS),4,60.39,241.56,05/12/2022
66999,650,Hotel K,Salvador (BH),4,263.41,1053.64,05/19/2022
67000,650,Hotel A,Florianopolis (SC),3,313.02,939.06,05/26/2022
67004,650,Hotel BD,Natal (RN),3,242.88,728.64,06/23/2022
67005,650,Hotel BD,Natal (RN),4,242.88,971.52,06/30/2022
67006,650,Hotel A,Florianopolis (SC),1,313.02,313.02,07/07/2022
67008,650,Hotel A,Florianopolis (SC),3,313.02,939.06,07/21/2022
67009,650,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,07/28/2022
67012,650,Hotel BW,Campo Grande (MS),2,60.39,120.78,08/18/2022
67015,650,Hotel K,Salvador (BH),4,263.41,1053.64,09/08/2022
67017,650,Hotel BD,Natal (RN),1,242.88,242.88,09/22/2022
67018,650,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,09/29/2022
67024,650,Hotel BW,Campo Grande (MS),4,60.39,241.56,11/10/2022
67026,650,Hotel K,Salvador (BH),3,263.41,790.23,11/24/2022
67028,650,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,12/08/2022
67029,650,Hotel BP,Brasilia (DF),3,247.62,742.86,12/15/2022
67033,650,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/12/2023
67034,650,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/19/2023
67038,650,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,02/16/2023
67044,650,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,03/30/2023
67046,650,Hotel BW,Campo Grande (MS),1,60.39,60.39,04/13/2023
67049,650,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/04/2023
67056,651,Hotel A,Florianopolis (SC),1,313.02,313.02,11/07/2019
67061,651,Hotel AU,Recife (PE),4,312.83,1251.32,12/12/2019
67070,651,Hotel BW,Campo Grande (MS),1,60.39,60.39,02/13/2020
67071,651,Hotel AU,Recife (PE),3,312.83,938.49,02/20/2020
67072,651,Hotel AU,Recife (PE),2,312.83,625.66,02/27/2020
67078,651,Hotel AF,Sao Paulo (SP),2,139.1,278.2,04/09/2020
67080,651,Hotel K,Salvador (BH),2,263.41,526.82,04/23/2020
