travelCode,userCode,name,place,days,price,total,date
33248,321,Hotel BD,Natal (RN),1,242.88,242.88,02/13/2020
33255,321,Hotel AU,Recife (PE),3,312.83,938.49,04/02/2020
33257,321,Hotel AU,Recife (PE),1,312.83,312.83,04/16/2020
33258,321,Hotel A,Florianopolis (SC),3,313.02,939.06,04/23/2020
33259,321,Hotel AU,Recife (PE),1,312.83,312.83,04/30/2020
33262,321,Hotel BD,Natal (RN),1,242.88,242.88,05/21/2020
33272,321,Hotel A,Florianopolis (SC),4,313.02,1252.08,07/30/2020
33275,321,Hotel BP,Brasilia (DF),4,247.62,990.48,08/20/2020
33284,321,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,10/22/2020
33285,321,Hotel K,Salvador (BH),1,263.41,263.41,10/29/2020
33286,321,Hotel BP,Brasilia (DF),2,247.62,495.24,11/05/2020
33291,321,Hotel BD,Natal (RN),4,242.88,971.52,12/10/2020
33296,321,Hotel AU,Recife (PE),2,312.83,625.66,01/14/2021
33297,321,Hotel BD,Natal (RN),2,242.88,485.76,01/21/2021
33300,321,Hotel AU,Recife (PE),1,312.83,312.83,02/11/2021
33303,321,Hotel K,Salvador (BH),1,263.41,263.41,03/04/2021
33305,321,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03/18/2021
33308,321,Hotel AU,Recife (PE),2,312.83,625.66,04/08/2021
33309,321,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/15/2021
33315,321,Hotel AU,Recife (PE),1,312.83,312.83,05/27/2021
33321,321,Hotel AF,Sao Paulo (SP),4,139.1,556.4,07/08/2021
33322,321,Hotel Z,Aracaju (SE),3,208.04,624.12,07/15/2021
33329,321,Hotel AF,Sao Paulo (SP),1,139.1,139.1,09/02/2021
33330,321,Hotel BD,Natal (RN),4,242.88,971.52,09/09/2021
33332,321,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,09/23/2021
33335,321,Hotel BD,Natal (RN),1,242.88,242.88,10/14/2021
33346,321,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/30/2021
33347,321,Hotel A,Florianopolis (SC),2,313.02,626.04,01/06/2022
33348,321,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/13/2022
33354,321,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/24/2022
33357,321,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/17/2022
33359,321,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/31/2022
33364,321,Hotel A,Florianopolis (SC),1,313.02,313.02,05/05/2022
33365,321,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,05/12/2022
33366,321,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/19/2022
33369,321,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/09/2022
33372,321,Hotel A,Florianopolis (SC),2,313.02,626.04,06/30/2022
33374,321,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/14/2022
33376,321,Hotel A,Florianopolis (SC),3,313.02,939.06,07/28/2022
33377,321,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,08/04/2022
33380,321,Hotel BW,Campo Grande (MS),3,60.39,181.17,08/25/2022
33386,322,Hotel BP,Brasilia (DF),4,247.62,990.48,10/24/2019
33387,322,Hotel BP,Brasilia (DF),3,247.62,742.86,10/31/2019
33390,322,Hotel A,Florianopolis (SC),2,313.02,626.04,11/21/2019
33393,322,Hotel AU,Recife (PE),2,312.83,625.66,12/12/2019
33396,322,Hotel AF,Sao Paulo (SP),1,139.1,139.1,01/02/2020
33398,322,Hotel K,Salvador (BH),1,263.41,263.41,01/16/2020
33400,322,Hotel BD,Natal (RN),3,242.88,728.64,01/30/2020
33401,322,Hotel K,Salvador (BH),2,263.41,526.82,02/06/2020
33405,322,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/05/2020
33411,322,Hotel BW,Campo Grande (MS),4,60.39,241.56,04/16/2020
33414,322,Hotel Z,Aracaju (SE),1,208.04,208.04,05/07/2020
33420,322,Hotel BP,Brasilia (DF),2,247.62,495.24,06/18/2020
33423,322,Hotel A,Florianopolis (SC),2,313.02,626.04,07/09/2020
33425,322,Hotel Z,Aracaju (SE),3,208.04,624.12,07/23/2020
33426,322,Hotel Z,Aracaju (SE),2,208.04,416.08,07/30/2020
33427,322,Hotel BP,Brasilia (DF),3,247.62,742.86,08/06/2020
33429,322,Hotel BD,Natal (RN),2,242.88,485.76,08/20/2020
33430,322,Hotel AF,Sao Paulo (SP),4,139.1,556.4,08/27/2020
33433,322,Hotel A,Florianopolis (SC),1,313.02,313.02,09/17/2020
33435,322,Hotel BD,Natal (RN),4,242.88,971.52,10/01/2020
33437,322,Hotel A,Florianopolis (SC),4,313.02,1252.08,10/15/2020
33438,322,Hotel Z,Aracaju (SE),3,208.04,624.12,10/22/2020
33439,322,Hotel AU,Recife (PE),4,312.83,1251.32,10/29/2020
33441,322,Hotel BD,Natal (RN),4,242.88,971.52,11/12/2020
33442,322,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11/19/2020
33446,322,Hotel AU,Recife (PE),3,312.83,938.49,12/17/2020
33449,322,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/07/2021
33455,322,Hotel BD,Natal (RN),3,242.88,728.64,02/18/2021
33459,322,Hotel A,Florianopolis (SC),3,313.02,939.06,03/18/2021
33460,322,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/25/2021
33462,322,Hotel BW,Campo Grande (MS),1,60.39,60.39,04/08/2021
33463,322,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/15/2021
33464,322,Hotel BP,Brasilia (DF),4,247.62,990.48,04/22/2021
33465,322,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/29/2021
33468,322,Hotel A,Florianopolis (SC),3,313.02,939.06,05/20/2021
33471,322,Hotel BP,Brasilia (DF),2,247.62,495.24,06/10/2021
33472,322,Hotel A,Florianopolis (SC),2,313.02,626.04,06/17/2021
